ev_stand,ev_hit,ev_double,realized_units,stand_shadow_units,hit_shadow_units
-1.000000,+1.000000,-0.300971,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.458853,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.857506,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.701031,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,+0.000000,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.456464,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.154472,+1.000000,+1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,-0.091922,+1.000000,+1.000000,+1.000000
+0.000000,+0.000000,-0.859155,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.306590,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.796512,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,+0.227545,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.685976,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.472222,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.109718,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.784127,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.154341,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.315961,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.646865,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.341137,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+0.000000,-0.937716,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+0.074205,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.298561,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.635036,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.694030,+0.000000,+0.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.842520,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.497942,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.537815,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.918803,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.925764,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.110092,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.543689,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.922330,+0.000000,-1.000000,+0.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.305211,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.224181,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.002545,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.695876,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.608355,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.291005,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.388740,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,+0.163488,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.754821,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.916201,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+0.235127,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.268012,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.830409,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.792285,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.602410,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.394322,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.437908,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.370370,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.450172,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.293706,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.362007,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.364964,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.806691,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.731801,+0.000000,+0.000000,+0.000000
-1.000000,+1.000000,-0.265873,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
-1.000000,+1.000000,-0.740741,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.592437,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.721030,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.422907,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.946188,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.733945,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.417840,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.620192,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.381995,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.611794,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.924242,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.617347,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,+0.000000,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.231579,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.305851,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.138587,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.622590,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.366947,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.920455,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,-0.839080,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.915698,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.471976,+1.000000,-1.000000,+1.000000
-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
+1.000000,+1.000000,-0.841945,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.756173,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+0.044025,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.929712,+0.000000,-1.000000,+0.000000
+1.000000,+1.000000,+0.029316,+1.000000,+1.000000,+1.000000
-1.000000,+0.000000,-0.927393,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.491639,+1.000000,-1.000000,+1.000000
+0.000000,+0.000000,-0.843537,+0.000000,+0.000000,+0.000000
-1.000000,+0.000000,-0.910345,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.535211,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.625000,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.840000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.837037,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.592453,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.911538,+0.000000,-1.000000,+0.000000
-1.000000,+0.000000,-0.921875,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,-0.609562,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.643725,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.834711,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.167382,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.188596,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.040724,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,-0.665116,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.838863,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.352941,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.689320,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.621622,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.307692,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,-0.693467,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.241730,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.169666,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.456919,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.537037,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.622995,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.769648,+1.000000,-1.000000,+1.000000
-1.000000,+1.000000,-0.780220,+1.000000,-1.000000,+1.000000
+1.000000,+1.000000,+1.000000,+1.000000,+1.000000,+1.000000
+1.000000,+1.000000,+0.101695,+1.000000,+1.000000,+1.000000
-1.000000,+1.000000,-0.284058,+1.000000,-1.000000,+1.000000
-1.000000,+0.000000,-0.911765,+0.000000,-1.000000,+0.000000
-1.000000,+1.000000,+0.142857,+1.000000,-1.000000,+1.000000
