==============================================
BLACKJACK SIMULATOR (PYTHON + RUST ENGINE)
==============================================
NUM_HANDS: 2000
RULES    : {'num_decks': 8.0, 'dealer_hits_soft_17': 1, 'reshuffle_penetration': 0.5, 'blackjack_payout': 1.5, 'max_splits': 0, 'das': 0, 'late_surrender': 0, 'split_aces_one_card': 1, 'continuous_shoe': 1, 'split_mode': 'joint_light'}
DP_DEPTH : 3 (Hit uses DP with this depth)
...progress 10/2000 | PolicyEV=-0.263921
...progress 20/2000 | PolicyEV=-0.101272
...progress 30/2000 | PolicyEV=+0.012963
...progress 40/2000 | PolicyEV=+0.008320
...progress 50/2000 | PolicyEV=-0.021712
...progress 60/2000 | PolicyEV=-0.020758
...progress 70/2000 | PolicyEV=-0.028393
...progress 80/2000 | PolicyEV=-0.031220
...progress 90/2000 | PolicyEV=-0.041188
...progress 100/2000 | PolicyEV=-0.039307
...progress 110/2000 | PolicyEV=-0.055346
...progress 120/2000 | PolicyEV=-0.047319
...progress 130/2000 | PolicyEV=-0.040857
...progress 140/2000 | PolicyEV=-0.031331
...progress 150/2000 | PolicyEV=-0.026577
...progress 160/2000 | PolicyEV=-0.035460
...progress 170/2000 | PolicyEV=-0.031669
...progress 180/2000 | PolicyEV=-0.037960
...progress 190/2000 | PolicyEV=-0.043511
...progress 200/2000 | PolicyEV=-0.047898
...progress 210/2000 | PolicyEV=-0.053861
...progress 220/2000 | PolicyEV=-0.054180
...progress 230/2000 | PolicyEV=-0.053439
...progress 240/2000 | PolicyEV=-0.062666
...progress 250/2000 | PolicyEV=-0.062322
...progress 260/2000 | PolicyEV=-0.065156
...progress 270/2000 | PolicyEV=-0.066229
...progress 280/2000 | PolicyEV=-0.066515
...progress 290/2000 | PolicyEV=-0.061791
...progress 300/2000 | PolicyEV=-0.060339
...progress 310/2000 | PolicyEV=-0.060446
...progress 320/2000 | PolicyEV=-0.054620
...progress 330/2000 | PolicyEV=-0.059075
...progress 340/2000 | PolicyEV=-0.059316
...progress 350/2000 | PolicyEV=-0.053681
...progress 360/2000 | PolicyEV=-0.048672
...progress 370/2000 | PolicyEV=-0.048523
...progress 380/2000 | PolicyEV=-0.049377
...progress 390/2000 | PolicyEV=-0.053469
...progress 400/2000 | PolicyEV=-0.055670
...progress 410/2000 | PolicyEV=-0.050023
...progress 420/2000 | PolicyEV=-0.051925
...progress 430/2000 | PolicyEV=-0.050136
...progress 440/2000 | PolicyEV=-0.048864
...progress 450/2000 | PolicyEV=-0.050779
...progress 460/2000 | PolicyEV=-0.051316
...progress 470/2000 | PolicyEV=-0.050621
...progress 480/2000 | PolicyEV=-0.049604
...progress 490/2000 | PolicyEV=-0.053594
...progress 500/2000 | PolicyEV=-0.052615
...progress 510/2000 | PolicyEV=-0.052029
...progress 520/2000 | PolicyEV=-0.053654
...progress 530/2000 | PolicyEV=-0.052820
...progress 540/2000 | PolicyEV=-0.055562
...progress 550/2000 | PolicyEV=-0.059066
...progress 560/2000 | PolicyEV=-0.058136
...progress 570/2000 | PolicyEV=-0.058379
...progress 580/2000 | PolicyEV=-0.057682
...progress 590/2000 | PolicyEV=-0.056463
...progress 600/2000 | PolicyEV=-0.058461
...progress 610/2000 | PolicyEV=-0.060540
